 incoming_name  | state_abbr 
----------------+------------
 co             | CO
 colo           | CO
 colorado       | CO
 ct             | CT
 conn           | CT
 connecticut    | CT
 me             | ME
 maine          | ME
 mn             | MN
 minn           | MN
 minnesota      | MN
 al             | AL
 alabama        | AL
 ak             | AK
 alaska         | AK
 az             | AZ
 arizona        | AZ
 ar             | AR
 arkansas       | AR
 ca             | CA
 california     | CA
 de             | DE
 delaware       | DE
 fl             | FL
 florida        | FL
 ga             | GA
 georgia        | GA
 hi             | HI
 hawaii         | HI
 id             | ID
 idaho          | ID
 il             | IL
 illinois       | IL
 in             | IN
 indiana        | IN
 ia             | IA
 iowa           | IA
 ks             | KS
 kansas         | KS
 ky             | KY
 kentucky       | KY
 la             | LA
 louisiana      | LA
 md             | MD
 maryland       | MD
 ma             | MA
 massachusetts  | MA
 mi             | MI
 michigan       | MI
 ms             | MS
 mississippi    | MS
 mo             | MO
 missouri       | MO
 mt             | MT
 montana        | MT
 ne             | NE
 nebraska       | NE
 nv             | NV
 nevada         | NV
 nh             | NH
 new hampshire  | NH
 nj             | NJ
 new jersey     | NJ
 nm             | NM
 new mexico     | NM
 ny             | NY
 new york       | NY
 nc             | NC
 north carolina | NC
 nd             | ND
 north dakota   | ND
 oh             | OH
ohio           | OH
 ok             | OK
 oklahoma       | OK
 or             | OR
 oregon         | OR
 pa             | PA
 pennsylvania   | PA
 ri             | RI
 rhode island   | RI
 sc             | SC
 south carolina | SC
 sd             | SD
 south dakota   | SD
 tn             | TN
 tennessee      | TN
 tx             | TX
 texas          | TX
 ut             | UT
 utah           | UT
 vt             | VT
 vermont        | VT
 va             | VA
 virginia       | VA
 wa             | WA
 washington     | WA
 wv             | WV
 west virginia  | WV
 wi             | WI
 wisconsin      | WI
 wy             | WY
 wyoming        | WY
 calif          | CA
 mass           | MA
 miss           | MS
 tenn           | TN
 wash           | WA
 wis            | WI
 wisc           | WI
 c.o.           | CO
 n.y.           | NY
 n.j.           | NJ
 conn.          | CT
 ga.            | GA
 tex.           | TX
 conneticut     | CT
 pennslyvania   | PA
 tenessee       | TN
 minesota       | MN
 minnisota      | MN
 massachusets   | MA
 co.            | CO
 al.            | AL
 ak.            | AK
 az.            | AZ
 ar.            | AR
 ca.            | CA
 ct.            | CT
 de.            | DE
 fl.            | FL
 hi.            | HI
 id.            | ID
 il.            | IL
 in.            | IN
 ia.            | IA
 ks.            | KS
 ky.            | KY
 la.            | LA
 me.            | ME
 md.            | MD
 ma.            | MA
 mi.            | MI
 mn.            | MN
 ms.            | MS
 mo.            | MO
 mt.            | MT
  ne.            | NE
  nv.            | NV
  nh.            | NH
  nj.            | NJ
  nm.            | NM
  ny.            | NY
  nc.            | NC
  nd.            | ND
  oh.            | OH
  ok.            | OK
  or.            | OR
  pa.            | PA
  ri.            | RI
  sc.            | SC
  sd.            | SD
  tn.            | TN
  tx.            | TX
  ut.            | UT
  vt.            | VT
  va.            | VA
  wa.            | WA
  wv.            | WV
  wi.            | WI
  wy.            | WY
  col            | CO
  con            | CT
  tex            | TX
  calif.         | CA
  mass.          | MA
  tenn.          | TN
  wash.          | WA
  wis.           | WI
  minn.          | MN
  nebr.          | NE
  dak.           | ND
  miss.          | MS
  okla.          | OK
  ore.           | OR
  ala.           | AL
  ark.           | AR
  nev.           | NV
  col.           | CO
  ill.           | IL
  ind.           | IN
  kan.           | KS
  mich.          | MI
  mont.          | MT
  n.c.           | NC
  n.d.           | ND
  n.m.           | NM
  s.c.           | SC
  s.d.           | SD
  w.va.          | WV
  wyo.           | WY
  alabamma       | AL
  alaskaa        | AK
  arizone        | AZ
  arkansaw       | AR
  calfornia      | CA
  colorodo       | CO
  connecticutt   | CT
  delware        | DE
  florda         | FL
  georga         | GA
  hawii          | HI
  idhao          | ID
  illinoi        | IL
  indana         | IN
  iwoa           | IA
  kanses         | KS
  kentuckey      | KY
  louisianna     | LA
  main           | ME
  minn.          | MN
   nebr.          | NE
   dak.           | ND
   miss.          | MS
   okla.          | OK
   ore.           | OR
   ala.           | AL
   ark.           | AR
   nev.           | NV
   col.           | CO
   ill.           | IL
   ind.           | IN
   kan.           | KS
   mich.          | MI
   mont.          | MT
   n.c.           | NC
   n.d.           | ND
   n.m.           | NM
   s.c.           | SC
   s.d.           | SD
   w.va.          | WV
   wyo.           | WY
   alabamma       | AL
   alaskaa        | AK
   arizone        | AZ
   arkansaw       | AR
   calfornia      | CA
   colorodo       | CO
   connecticutt   | CT
   delware        | DE
   florda         | FL
   georga         | GA
   hawii          | HI
   idhao          | ID
   illinoi        | IL
   indana         | IN
   iwoa           | IA
   kanses         | KS
   kentuckey      | KY
   louisianna     | LA
   main           | ME
   marylnd        | MD
   massachussetts | MA
   michagan       | MI
   minnesotta     | MN
   missisipi      | MS
   missoury       | MO
   montanna       | MT
   nebraka        | NE
   nevadda        | NV
   new hampshure  | NH
   new jersy      | NJ
   new mexco      | NM
   newyork        | NY
   northcarolina  | NC
   north dakotta  | ND
   ohhio          | OH
   oklahaoma      | OK
   oregan         | OR
   pennsilvania   | PA
   rhodeisland    | RI
   southcarolina  | SC
   south dakotta  | SD
   tennesee       | TN
   texes          | TX
   utaha          | UT
   vermon         | VT
   virgina        | VA
   washinton      | WA
   westvirginia   | WV
   wisconson      | WI
   wyomng         | WY
